LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
47.00001,4.50001,1981,1,2,2.94,-0.84,2.03
47.00001,4.50001,1981,1,3,11.78,2.08,6.35
47.00001,4.50001,1981,1,4,11.85,-2.3,6.01
47.00001,4.50001,1981,1,5,0.48,-2.56,0.95
47.00001,4.50001,1981,1,6,4.58,-2.43,3.43
47.00001,4.50001,1981,1,7,0.37,-4.01,-0.08
47.00001,4.50001,1981,1,8,0.09,-4.95,0.83
47.00001,4.50001,1981,1,9,0.65,-5.32,0.91
47.00001,4.50001,1981,1,10,8.96,-0.8,0.66
47.00001,4.50001,1981,1,11,2.13,-4.84,0.54
47.00001,4.50001,1981,1,12,3.53,-6.44,0.05
47.00001,4.50001,1981,1,13,1.02,-5.1,-0.58
47.00001,4.50001,1981,1,14,9.93,-7.42,0.52
47.00001,4.50001,1981,1,15,8.1,-2.94,1.31
47.00001,4.50001,1981,1,16,5.04,-4.63,1.81
47.00001,4.50001,1981,1,17,4.25,1.34,3.24
47.00001,4.50001,1981,1,18,5.46,-1.84,2.35
47.00001,4.50001,1981,1,19,5.86,0.25,4.01
47.00001,4.50001,1981,1,20,12.5,-2.72,2.54
47.00001,4.50001,1981,1,21,0.27,-4.4,1.23
47.00001,4.50001,1981,1,22,0.07,-5.73,1.54
47.00001,4.50001,1981,1,23,0,-8.14,1.65
47.00001,4.50001,1981,1,24,0.04,-9.59,0.02
47.00001,4.50001,1981,1,25,0.79,-5.41,1.83
47.00001,4.50001,1981,1,26,0.2,-2.17,3.85
47.00001,4.50001,1981,1,27,0.02,-3.43,2.99
47.00001,4.50001,1981,1,28,0,-5.74,3.47
47.00001,4.50001,1981,1,29,0,-7.18,2.73
47.00001,4.50001,1981,1,30,0.01,-6.48,3.65
47.00001,4.50001,1981,1,31,0.01,-4.25,5.03
47.00001,4.50001,1981,2,1,0,-5.01,5
47.00001,4.50001,1981,2,2,0,-2.81,6.85
47.00001,4.50001,1981,2,3,12.7,-1.51,3.16
47.00001,4.50001,1981,2,4,5.57,-0.43,3.3
47.00001,4.50001,1981,2,5,2.43,-2.04,1.61
47.00001,4.50001,1981,2,6,1.86,1.65,5.02
47.00001,4.50001,1981,2,7,1.04,3.47,7.25
47.00001,4.50001,1981,2,8,0.22,0.22,7.43
47.00001,4.50001,1981,2,9,0.41,-0.84,8.57
47.00001,4.50001,1981,2,10,2.29,-0.85,4.74
47.00001,4.50001,1981,2,11,0.11,-4.2,2.54
47.00001,4.50001,1981,2,12,0,-4.66,2.06
47.00001,4.50001,1981,2,13,0,-5.45,1.41
47.00001,4.50001,1981,2,14,0,-8.1,2.71
