LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
-37.78349,145.25601,1981,1,2,0.07,15.12,34.24
-37.78349,145.25601,1981,1,3,0.61,13.61,29.83
-37.78349,145.25601,1981,1,4,0,10.63,24.1
-37.78349,145.25601,1981,1,5,0.11,11.78,28.01
-37.78349,145.25601,1981,1,6,0,13.6,28.04
-37.78349,145.25601,1981,1,7,0.05,13.2,29.62
-37.78349,145.25601,1981,1,8,4.06,17.66,34.9
-37.78349,145.25601,1981,1,9,7.21,20.9,34.48
-37.78349,145.25601,1981,1,10,5.42,13.17,24.46
-37.78349,145.25601,1981,1,11,0.11,11.04,23.14
-37.78349,145.25601,1981,1,12,0.25,10.95,32.23
-37.78349,145.25601,1981,1,13,0,15.09,36.41
-37.78349,145.25601,1981,1,14,0.09,20.23,39
-37.78349,145.25601,1981,1,15,0.07,21.72,37.8
-37.78349,145.25601,1981,1,16,0.26,19.13,35.04
-37.78349,145.25601,1981,1,17,0.21,21.78,35.68
-37.78349,145.25601,1981,1,18,11.11,18.76,36.23
-37.78349,145.25601,1981,1,19,1.42,13.94,24.48
-37.78349,145.25601,1981,1,20,0.06,11.69,31.13
-37.78349,145.25601,1981,1,21,0.01,12.59,30.2
-37.78349,145.25601,1981,1,22,0,10.34,23.01
-37.78349,145.25601,1981,1,23,0.01,11.77,25.45
-37.78349,145.25601,1981,1,24,0,12.08,31.6
-37.78349,145.25601,1981,1,25,0.01,15.01,37.04
-37.78349,145.25601,1981,1,26,2.74,17.75,39.78
-37.78349,145.25601,1981,1,27,12.08,17.82,27.84
-37.78349,145.25601,1981,1,28,9.9,13.58,22.03
-37.78349,145.25601,1981,1,29,0.04,12.99,25.14
-37.78349,145.25601,1981,1,30,0.09,12.41,28.7
-37.78349,145.25601,1981,1,31,0.03,13.56,27.58
-37.78349,145.25601,1981,2,1,0.01,15.04,32.48
-37.78349,145.25601,1981,2,2,0.01,17.34,34.1
-37.78349,145.25601,1981,2,3,0.01,18.71,35.35
-37.78349,145.25601,1981,2,4,2.91,16.44,25.42
-37.78349,145.25601,1981,2,5,15.86,15.47,19.95
-37.78349,145.25601,1981,2,6,0.54,13.41,25.33
-37.78349,145.25601,1981,2,7,0.01,13.93,30.43
-37.78349,145.25601,1981,2,8,0.01,19.24,31.58
-37.78349,145.25601,1981,2,9,0.2,16.33,29.66
-37.78349,145.25601,1981,2,10,0.09,12.76,21.19
-37.78349,145.25601,1981,2,11,0.16,10.41,25.57
-37.78349,145.25601,1981,2,12,0.81,13.87,29.72
-37.78349,145.25601,1981,2,13,0.02,16.32,34.53
-37.78349,145.25601,1981,2,14,0,19.41,34.39
-37.78349,145.25601,1981,2,15,0,20.14,38.27
-37.78349,145.25601,1981,2,16,0.01,18.54,28.9
-37.78349,145.25601,1981,2,17,0.03,15.91,29.09
-37.78349,145.25601,1981,2,18,0,13.83,22.08
-37.78349,145.25601,1981,2,19,0,13.34,22.56
-37.78349,145.25601,1981,2,20,0.07,12.48,24.64
